Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Bilibili Gaming	S9	CN	84	56.0%	1.18	1832	44	33:50	13.2	11.2	6.6	5.3	21.4	23.8	2.06	48.5	-	-	-	-	-	-	-	0.76	58.8	32.8	1961	3.7	1.43	1.72
Boavista FC	S9	PT	35	25.7%	0.71	1689	-192	31:47	13.9	19.6	4.2	7.8	45.7	37.1	1.83	42.5	-	0.57	57.1	0.69	-0.5	-1507	-	0.34	25.8	28.7	1768	2.8	0.98	1.02
Bombers	S9	OCE	55	70.9%	1.35	1892	174	31:37	16.7	12.4	7.6	4.1	60.0	65.5	2.40	63.6	-	0.67	67.3	0.89	0.4	1327	-	0.95	68.2	32.2	1995	3.4	1.28	1.30
Bulldog Esports	S9	UK	9	22.2%	0.69	1648	-180	34:11	11.2	16.2	3.9	8.3	77.8	33.3	1.67	39.6	-	0.44	44.4	0.78	-0.4	-276	-	0.44	37.0	30.1	1909	3.1	1.14	1.24
Burning Core	S9	JP	42	47.6%	0.88	1744	-21	33:45	11.2	12.7	5.7	6.0	50.0	47.6	2.17	49.0	-	0.55	56.1	0.79	-0.1	-124	-	0.67	47.5	31.6	1738	3.2	1.07	1.37
Bursaspor Esports	S9	TR	36	19.4%	0.61	1637	-233	32:49	8.1	13.2	3.5	8.2	47.2	44.4	1.47	30.7	-	0.42	42.9	0.72	-0.6	-1585	-	0.33	21.6	31.0	1513	3.1	1.27	1.28
Campus Party Sparks	S9	IT	52	69.2%	1.27	1862	125	31:32	17.3	13.6	7.0	4.8	53.8	71.2	2.12	56.1	-	0.44	46.0	0.79	0.5	696	-	0.85	65.4	30.8	2134	3.0	1.21	1.22
Cerberus Esports	S9	VN	67	34.3%	0.77	1755	-130	32:51	12.0	15.6	5.0	7.3	43.3	50.7	1.76	40.5	-	0.46	47.0	0.64	0.2	-298	-	0.49	32.0	32.7	1768	3.5	1.47	1.42
Cherry Gaming	S9	VN	34	32.4%	0.83	1779	-166	33:02	14.9	17.9	5.1	7.9	41.2	35.3	2.09	48.0	-	0.29	32.3	0.72	-0.5	-1676	-	0.56	33.9	31.6	1921	3.5	1.40	1.36
Chiefs eSports Club	S9	OCE	48	70.8%	1.28	1874	141	31:40	15.0	11.6	7.5	4.8	45.8	58.3	2.56	67.9	-	0.46	45.8	1.19	0.5	843	-	0.90	66.0	32.5	1874	3.2	1.24	1.35
CLG	S9	NA	53	50.9%	0.95	1767	-16	34:30	10.5	11.0	6.2	6.5	47.2	47.2	2.15	45.4	-	0.40	41.2	0.74	-0.2	-294	-	0.81	51.0	32.7	1727	3.6	1.49	1.56
CLG Academy	S9	NA	39	41.0%	0.86	1753	-79	32:57	13.4	15.5	5.2	6.7	53.8	46.2	1.64	37.3	-	0.46	46.2	0.64	-0.1	19	-	0.44	31.0	31.3	1920	3.1	1.13	1.33
Cloud9	S9	NA	61	59.0%	1.11	1807	41	32:36	13.6	12.2	6.6	5.5	50.8	52.5	2.13	52.3	-	0.61	64.9	0.85	0.2	52	-	0.77	59.3	31.2	1970	3.3	1.28	1.37
Cloud9 Academy	S9	NA	48	70.8%	1.34	1911	184	32:15	17.1	12.8	7.9	4.1	54.2	70.8	2.79	66.3	-	0.48	47.9	1.19	0.5	1382	-	0.96	67.9	32.4	2185	3.1	1.19	1.31
Clutch Gaming	S9	NA	77	46.8%	0.98	1778	-0	34:18	11.6	11.8	6.1	6.1	54.5	62.3	2.26	49.5	-	0.60	61.3	0.84	0.3	410	-	0.66	47.4	32.7	1810	3.8	1.55	1.57
Clutch Gaming Academy	S9	NA	36	25.0%	0.68	1715	-182	32:54	11.4	16.8	4.5	7.9	27.8	50.0	1.50	34.9	-	0.42	41.7	0.81	-0.4	-1421	-	0.69	38.6	30.4	1791	3.2	1.22	1.21
CNB e-Sports Club	S9	BR	45	37.8%	0.77	1719	-132	34:46	10.2	13.2	5.1	7.9	48.9	42.2	2.13	42.8	-	0.53	53.3	0.96	0.0	-961	-	0.73	40.9	31.8	1740	3.4	1.36	1.42
