Name	Season	Region	Games	Win rate	K:D	GPM	GDM	Game duration	Kills / game	Deaths / game	Towers killed	Towers lost	FB%	FT%	DRAPG	DRA%	VGPG	HERPG	HER%	DRA@15	TD@15	GD@15	PPG	NASHPG	NASH%	CSM	DPM	WPM	VWPM	WCPM
Team SoloMid	S7	NA	136	66.9%	1.21	1848	108	35:52	14.2	11.7	7.7	5.4	41.2	49.3	2.36	62.8	-	0.26	50.7	0.63	0.0	219	-	0.88	60.0	31.4	2027	3.7	0.87	1.26
Team Vitality	S7	EUW	59	35.6%	0.81	1707	-136	34:34	10.7	13.2	5.2	7.2	59.3	47.5	0.93	30.6	-	0.20	41.4	0.27	-0.2	-266	-	0.51	37.4	30.7	1788	3.6	1.20	1.16
Team WE	S7	CN	143	65.0%	1.29	1833	109	34:36	13.5	10.4	7.2	5.1	11.9	17.5	1.73	54.1	-	0.11	53.3	0.34	0.1	367	-	0.31	66.3	30.8	2048	3.5	0.88	1.28
Tempo Storm	S7	NA	44	59.1%	1.01	1806	75	35:24	11.2	11.1	6.9	5.9	56.8	52.3	1.93	56.6	-	0.43	61.3	0.66	0.4	473	-	0.77	57.9	31.4	1917	3.4	0.96	1.09
Unicorns Of Love	S7	EUW	96	56.3%	0.97	1809	41	34:47	13.7	14.0	6.7	5.6	35.4	49.0	1.34	51.7	-	0.21	40.0	0.31	0.0	-424	-	0.86	58.2	30.7	2012	3.1	0.81	1.12
Unsold Stuff Gaming	S7	JP	3	100.0%	2.12	1938	331	35:08	17.7	8.3	9.0	3.7	66.7	-	2.67	83.3	-	0.33	50.0	1.00	-0.5	-570	-	0.67	75.0	32.4	1824	3.7	0.87	1.13
Vaevictis eSports	S7	CIS	42	47.6%	0.79	1759	-63	34:21	12.7	16.0	6.0	6.7	42.9	61.9	1.76	47.6	-	0.43	62.1	0.67	0.0	-251	-	0.64	42.1	29.5	1977	3.4	0.81	1.20
Vega Squadron	S7	CIS	44	45.5%	0.90	1751	-61	34:40	12.2	13.6	6.0	6.8	50.0	45.5	1.36	43.6	-	0.32	50.0	0.41	-0.2	-435	-	0.61	46.7	30.4	1975	3.6	0.94	1.16
Vici Gaming	S7	CN	37	35.1%	0.78	1717	-84	36:05	10.4	13.3	5.0	6.9	-	-	1.46	41.8	-	-	-	-	-	-	-	-	-	31.9	-	-	-	-
Virtus.pro	S7	CIS	51	52.9%	1.13	1820	113	38:12	14.1	12.4	7.4	5.7	64.7	70.6	2.33	60.8	-	0.33	60.7	0.75	0.5	1209	-	0.92	56.4	30.9	2080	3.5	1.13	1.41
Wayi Spider	S7	TW	63	25.4%	0.74	1672	-187	37:38	9.3	12.5	4.7	8.3	41.3	34.9	1.06	34.4	-	0.14	27.3	0.19	0.0	-369	-	0.46	26.8	30.9	1736	4.2	1.25	1.34
Wind And Rain	S7	EUW	13	30.8%	0.59	1634	-274	36:37	7.5	12.7	4.6	8.5	38.5	23.1	1.92	46.4	-	0.38	41.7	0.77	-1.6	-2585	-	0.62	25.0	30.5	1863	3.9	1.30	1.17
Young Generation	S7	SEA	7	28.6%	0.88	1789	-71	33:54	8.1	9.3	6.7	7.3	71.4	57.1	1.57	59.4	-	0.43	42.9	0.43	0.6	856	-	0.43	25.0	32.8	1642	3.8	1.17	1.38
