,,,,,,,,,,,,,,,,,,,,
Player,Team,POS,M,G,W,L,K,D,A,KDA,KP%,KS%,CS,CSM,GLD%,DPM,FB,DTH%,WPM,WCPM
FoFo,Bilibili Gaming,MID,9,12,5,7,37,25,64,4.0,66.9,24.5,2816,7.8,16.5,421.9,1,16.7,0.29,0.12
Garvey,MAX E-Sports Club,TOP,10,11,5,6,37,31,77,3.7,76.5,24.8,2417,7.3,21.2,524.4,5,16.9,0.29,0.16
Rookie,Ninjas in Pyjamas,MID,5,11,6,5,37,37,62,2.7,67.8,25.3,2720,8.4,22.5,811.7,0,24.5,0.41,0.29
Alielie,DYU,TOP,5,7,5,2,36,18,37,4.1,57.5,28.3,1963,8.7,23.3,558.1,0,20.7,0.35,0.08
LangX,Suning,TOP,4,10,6,4,36,26,44,3.1,58.4,26.3,2866,8.5,22.7,128.6,1,17.0,0.17,0.06
Beichuan,FunPlus Phoenix,JNG,3,12,8,4,35,49,107,2.9,70.0,17.2,826,2.1,15.1,287.9,0,25.3,0.36,0.39
Ray,EDward Gaming,TOP,8,18,9,9,35,34,88,3.6,56.2,16.0,4673,7.8,20.1,150.2,1,19.2,0.23,0.09
Zoom,Top Esports,TOP,5,11,9,2,35,29,56,3.1,46.0,17.7,2680,7.9,21.6,397.3,1,23.0,0.41,0.23
Elk,Ultra Prime,ADC,5,7,4,3,33,15,37,4.7,64.2,30.3,1951,9.1,24.8,403.6,1,18.8,0.42,0.47
Eric,OMG,ADC,4,4,3,1,33,12,24,4.8,62.6,36.3,1110,9.3,24.8,537.3,0,24.5,0.35,0.36
Ming,Royal Never Give Up,SUP,23,42,28,14,32,106,386,3.9,63.2,4.8,1717,1.3,13.9,113.3,1,21.2,1.26,0.31
JunJia,EDward Gaming,JNG,3,9,5,4,31,23,73,4.5,61.5,18.3,1351,5.2,18.5,349.2,1,16.5,0.38,0.36
LokeN,Topsports Gaming,ADC,4,9,6,3,31,23,75,4.6,68.4,20.0,2458,8.6,21.9,0.0,0,21.9,0.00,0.00
Doinb,FunPlus Phoenix,MID,5,7,3,4,30,20,45,3.8,66.4,26.5,1667,8.6,23.5,555.7,2,16.7,0.45,0.12
Fisher,EDward Gaming,MID,5,11,4,7,30,43,67,2.3,55.4,17.1,2736,7.9,20.4,592.5,2,21.0,0.34,0.18
Cryin,Ultra Prime,MID,5,7,4,3,29,18,41,3.9,64.2,26.6,1722,8.0,22.1,578.8,0,22.5,0.36,0.14
Haro,Rogue Warriors,JNG,8,9,5,4,29,14,61,6.4,66.2,21.3,1663,6.4,20.3,301.4,2,13.3,0.68,0.29
Shanji,OMG,TOP,6,11,5,6,29,23,62,4.0,60.3,19.2,2341,7.6,21.8,457.4,1,17.8,0.31,0.17
369,Topsports Gaming,TOP,3,8,5,3,28,17,58,5.1,61.0,19.9,1866,7.5,21.1,0.0,0,17.0,0.00,0.00
Maple,Suning,MID,4,10,6,4,28,25,59,3.5,63.5,20.4,2616,7.8,20.2,125.3,1,16.3,0.26,0.06
Meteor,Bilibili Gaming,JNG,5,8,3,5,28,21,40,3.2,78.2,32.2,1436,6.0,13.1,161.5,0,19.6,0.50,0.23
Photic,Top Esports,ADC,5,9,5,4,27,17,41,4.0,53.1,21.1,2381,8.8,22.3,421.5,1,15.2,0.39,0.37
Strive,Rare Atom,MID,5,7,4,3,27,12,42,5.8,78.4,30.7,1831,8.4,23.3,637.8,1,13.2,0.31,0.23
Care,FunPlus Phoenix,MID,5,6,2,4,26,23,32,2.5,67.4,30.2,1568,8.7,23.5,563.1,1,20.2,0.33,0.31
haichao,LGD Gaming,MID,4,4,3,1,26,4,23,12.3,57.6,30.6,1088,9.7,26.3,858.8,0,8.3,0.38,0.20
ON,Bilibili Gaming,SUP,6,21,18,3,26,39,270,7.6,72.7,6.4,659,1.1,14.1,299.7,1,18.4,1.81,0.52
Puff,Invictus Gaming,ADC,5,5,2,3,26,6,39,10.8,87.8,35.1,1734,9.9,26.3,748.8,0,7.3,0.33,0.45
Xiaohao,Anyone's Legend,JNG,6,10,5,5,26,18,45,3.9,67.6,24.8,1182,3.8,19.6,323.4,0,17.0,0.46,0.44
ZWuJi,Rogue Warriors,ADC,5,7,3,4,26,15,21,3.1,57.3,31.7,1975,9.2,24.3,393.9,2,16.7,0.35,0.43
Missing,WE,SUP,12,24,14,10,25,88,263,3.3,68.7,6.0,946,1.2,13.3,186.1,0,26.2,1.76,0.41
Mole,Victory Five,MID,8,11,6,5,25,33,69,2.8,68.6,18.2,2461,7.1,20.2,480.8,2,25.4,0.37,0.16
Shanji,Ninjas in Pyjamas,TOP,5,11,6,5,25,33,40,2.0,44.5,17.1,2741,8.5,21.4,437.8,1,21.9,0.41,0.13
Xiaopeng,Top Esports,JNG,3,5,4,1,25,13,52,5.9,80.2,26.0,145,1.0,20.1,329.7,1,25.5,0.32,0.39
AmazingJ,Bilibili Gaming,TOP,6,16,9,7,24,26,104,4.9,68.1,12.8,4456,8.6,20.8,286.7,1,14.1,0.30,0.09
Bin,Suning,TOP,5,7,1,6,24,30,20,1.5,55.0,30.0,1774,7.8,22.8,445.0,2,23.6,0.35,0.15
Chieftain,Bilibili Gaming,JNG,5,11,6,5,24,28,80,3.7,76.5,17.6,1743,5.0,18.0,104.4,0,19.9,0.57,0.35
H4cker,Ultra Prime,JNG,7,9,5,4,24,16,69,5.8,62.8,16.2,597,2.2,18.9,325.4,2,15.2,0.45,0.37
H4cker,Suning,JNG,4,10,6,4,24,35,64,2.5,64.2,17.5,1655,4.9,17.5,99.4,0,22.9,0.20,0.08
Lwx,Royal Never Give Up,ADC,5,8,5,3,24,21,36,2.9,54.1,21.6,1909,8.7,22.9,673.0,0,21.0,0.45,0.31
Weiwei,Victory Five,JNG,5,8,5,3,24,16,45,4.3,63.9,22.2,1440,5.5,19.5,333.2,1,18.6,0.59,0.34
Ruby,Rogue Warriors,MID,4,6,3,3,23,17,30,3.1,66.3,28.8,1523,8.1,22.8,439.5,2,21.3,0.43,0.15
Teacherma,WE,MID,2,6,3,3,23,18,44,3.7,62.6,21.5,1471,7.7,21.4,329.8,0,19.4,0.36,0.19
Able,Bilibili Gaming,ADC,4,4,3,1,22,8,28,6.3,68.5,30.1,1252,9.3,25.2,504.0,1,17.0,0.67,0.46
AKi,Ninjas in Pyjamas,JNG,5,11,6,5,22,28,77,3.5,67.8,15.1,1818,5.6,18.5,245.8,2,18.5,0.28,0.31
Dream,Victory Five,MID,5,7,4,3,22,17,42,3.8,64.0,22.0,1504,7.7,20.8,475.0,0,18.3,0.27,0.14
Killua,Rogue Warriors,SUP,6,12,4,8,22,47,102,2.6,72.1,12.8,392,1.0,15.9,99.3,2,23.9,0.54,0.13
Kramer,LGD Gaming,ADC,4,4,2,2,22,7,23,6.4,76.3,37.3,1402,10.2,26.0,569.1,1,13.5,0.46,0.46
Light,Weibo Gaming,ADC,1,5,2,3,22,10,19,4.1,69.5,37.3,1384,9.4,24.9,615.8,0,17.2,0.35,0.28
XinLiu,TT,SUP,5,18,12,6,22,52,185,4.0,70.4,7.5,386,0.7,13.6,272.8,1,24.2,1.62,0.30
Zhuo,Top Esports,SUP,10,25,21,4,22,70,277,4.3,61.8,4.5,971,1.2,12.8,131.4,2,23.1,1.75,0.45
Zz1tai,Royal Never Give Up,TOP,4,10,8,2,22,10,76,9.8,60.1,13.5,2898,8.8,20.5,156.3,0,12.5,0.18,0.07
Captain,Invictus Gaming,MID,4,4,2,2,21,8,28,6.1,74.2,31.8,1093,7.5,21.7,495.7,1,14.5,0.45,0.46
Garvey,LGD Gaming,TOP,5,7,3,4,21,25,37,2.3,59.2,21.4,1758,7.6,21.5,434.8,0,23.1,0.36,0.18
Huanfeng,Weibo Gaming,ADC,4,4,2,2,21,11,15,3.3,69.2,40.4,1209,8.6,25.5,572.7,2,21.6,0.38,0.17
Tian,FunPlus Phoenix,JNG,5,7,3,4,21,25,47,2.7,60.2,18.6,1153,6.0,19.1,427.3,1,20.8,0.61,0.35
Weiwei,Bilibili Gaming,JNG,5,6,4,2,21,13,43,4.9,63.4,20.8,439,2.6,19.7,262.2,0,25.5,0.60,0.40
Xiaocaobao,Young Miracles,MID,4,4,3,1,21,5,27,9.6,72.7,31.8,1031,9.1,23.8,664.4,0,13.2,0.52,0.32
Captain,TT,MID,8,8,2,6,20,17,49,4.1,75.8,22.0,2067,8.3,23.2,403.9,1,14.3,0.30,0.32
Deokdam,FunPlus Phoenix,ADC,4,4,2,2,20,18,28,2.7,67.6,28.2,1085,8.5,23.3,696.4,1,23.1,0.45,0.29
Eric,LGD Gaming,ADC,4,4,3,1,20,12,18,3.2,50.0,26.3,1259,8.7,24.3,522.8,0,25.0,0.53,0.45
Shad0w,LGD Gaming,JNG,4,4,3,1,20,8,32,6.5,68.4,26.3,174,1.2,20.6,439.8,1,16.7,0.34,0.39
xiye,JD Gaming,MID,2,9,5,4,20,33,72,2.8,69.2,15.0,2454,8.1,21.2,464.4,0,23.4,0.42,0.22
Xx,Topsports Gaming,JNG,4,9,6,3,20,22,73,4.2,60.0,12.9,1329,4.6,17.3,0.0,0,21.0,0.00,0.00
Ale,Li-Ning Gaming,TOP,2,8,4,4,19,32,46,2.0,48.1,14.1,1785,7.5,19.2,477.8,0,23.9,0.33,0.16
Ale,Li-Ning Gaming,TOP,2,8,4,4,19,32,46,2.0,48.1,14.1,1785,7.5,19.2,477.8,0,23.9,0.33,0.16
Aliez,Ultra Prime,TOP,5,6,4,2,19,13,29,3.7,50.0,19.8,1376,7.6,21.2,398.5,0,20.0,0.41,0.14
Betty,Rogue Warriors,ADC,4,4,3,1,19,9,29,5.3,64.0,25.3,1009,8.8,23.5,576.6,0,21.4,0.33,0.28
Chelly,LinGan e-Sports,ADC,4,4,1,3,19,10,15,3.4,97.1,54.3,1081,9.0,25.9,527.0,0,13.9,0.29,0.43
Hope,WE,ADC,2,4,2,2,19,14,27,3.3,68.7,28.4,1336,8.4,23.4,637.6,0,24.6,0.45,0.35
